name,link_id,osm_way_id,from_node_id,to_node_id,dir_flag,length,lanes,free_speed,capacity,link_type_name,link_type,geometry,allowed_uses,from_biway,is_link,VDF_fftt1,VDF_cap1
South College Avenue,840,597596576,256,24,1,182.56,1,,,tertiary,5,"LINESTRING (-111.9349226 33.4103317, -111.9349315 33.4107044, -111.9349316 33.4107429, -111.9349308 33.4109161, -111.9349309 33.4110191, -111.9349310 33.4110677, -111.9349317 33.4113472, -111.9349297 33.4119783)",auto,1,0,,
South Rural Road,841,613687451,441,450,1,43.94,3,56,,primary,3,"LINESTRING (-111.9262731 33.4079581, -111.9262739 33.4082020, -111.9262744 33.4083544)",auto,1,0,,
South Rural Road,842,613687451,450,441,1,43.94,5,56,,primary,3,"LINESTRING (-111.9262744 33.4083544, -111.9262739 33.4082020, -111.9262731 33.4079581)",auto,1,0,,
South McAllister Avenue,843,613698108,84,498,1,112.02,1,40,,tertiary,5,"LINESTRING (-111.9294043 33.4166443, -111.9295169 33.4165881, -111.9296074 33.4165060, -111.9302220 33.4159090)",auto,0,0,,
South McAllister Avenue,844,613698108,498,499,1,82.52,1,40,,tertiary,5,"LINESTRING (-111.9302220 33.4159090, -111.9303493 33.4157851, -111.9303964 33.4157365, -111.9304881 33.4156245, -111.9305592 33.4155164, -111.9306186 33.4154082, -111.9306452 33.4153477, -111.9306642 33.4152742)",auto,0,0,,
,845,634351294,500,366,1,69.78,,,,service,8,"LINESTRING (-111.9407231 33.4213245, -111.9406838 33.4213600, -111.9406654 33.4214007, -111.9406618 33.4214492, -111.9406731 33.4215057, -111.9407048 33.4215701, -111.9407078 33.4217665, -111.9407008 33.4219319)",auto,0,0,,
East Broadway Road,846,643913497,369,372,1,15.99,3,,,secondary,4,"LINESTRING (-111.9391558 33.4074189, -111.9389839 33.4074225)",auto,1,0,,
East Broadway Road,847,643913497,372,369,1,15.99,4,,,secondary,4,"LINESTRING (-111.9389839 33.4074225, -111.9391558 33.4074189)",auto,1,0,,
East Orange Street,848,656385562,501,237,1,300.13,,40,,residential,6,"LINESTRING (-111.9231790 33.4175290, -111.9229809 33.4177201, -111.9227335 33.4179463, -111.9226204 33.4180497, -111.9223035 33.4182204, -111.9219423 33.4184150, -111.9218791 33.4184524, -111.9217363 33.4185368, -111.9216162 33.4187016, -111.9214702 33.4187804, -111.9212894 33.4188214, -111.9205552 33.4187226)",auto,1,0,,
East Orange Street,849,656385562,237,501,1,300.13,,40,,residential,6,"LINESTRING (-111.9205552 33.4187226, -111.9212894 33.4188214, -111.9214702 33.4187804, -111.9216162 33.4187016, -111.9217363 33.4185368, -111.9218791 33.4184524, -111.9219423 33.4184150, -111.9223035 33.4182204, -111.9226204 33.4180497, -111.9227335 33.4179463, -111.9229809 33.4177201, -111.9231790 33.4175290)",auto,1,0,,
