name,node_id,osm_node_id,osm_highway,zone_id,ctrl_type,node_type,activity_type,is_boundary,x_coord,y_coord,intersection_id,poi_id,notes
,391,4347879975,,,,,,,-111.9263,33.4175412,,,
,392,41573980,traffic_signals,,signal,,,,-111.926303,33.4168382,,,
,393,,,,,,,,-111.926406,33.4221,,,boundary node created by osm2gmns
,394,41573982,traffic_signals,,signal,,,,-111.926296,33.4191375,,,
,395,1501648953,,,,,,,-111.9262989,33.4202366,,,
,396,2671959143,traffic_signals,,signal,,,,-111.9263,33.4202837,,,
,397,4347879966,,,,,,,-111.9262948,33.4140912,,,
,398,5646686312,,,,,,,-111.9262947,33.4141212,,,
,399,4347879980,,,,,,,-111.9263916,33.4208903,,,
,400,2300341851,crossing,,,,,,-111.9263019,33.4203615,,,
,401,4347879981,,,,,,,-111.9262395,33.4214276,,,
,402,9658596255,,,,,,,-111.9262383,33.4211604,,,
,403,,,,,,,,-111.9262421,33.4221,,,boundary node created by osm2gmns
,404,4084526285,,,,,,,-111.9154379,33.4075755,,,
,405,4347900933,,,,,,,-111.917013,33.407576,,,
,406,4347900928,,,,,,,-111.9106315,33.407571,,,
,407,4084510561,,,,,,,-111.91123,33.4075712,,,
,408,4347900914,,,,,,,-111.9252008,33.4074445,,,
,409,4347900910,,,,,,,-111.9243424,33.4074438,,,
,410,4347900932,,,,,,,-111.9148321,33.4075753,,,
,411,4084529110,,,,,,,-111.911231,33.4074387,,,
,412,4347900905,,,,,,,-111.9099258,33.4074356,,,
,413,4347900930,,,,,,,-111.9126153,33.4075737,,,
,414,4084510568,,,,,,,-111.9132484,33.4075751,,,
,415,4347900912,,,,,,,-111.9195397,33.4074443,,,
,416,4347900915,,,,,,,-111.9183745,33.4074446,,,
,417,4347900916,,,,,,,-111.925503,33.4074447,,,
,418,4347900927,,,,,,,-111.9251976,33.4075685,,,
,419,4084525374,,,,,,,-111.9209405,33.4074439,,,
,420,4347900911,,,,,,,-111.9199744,33.4074441,,,
,421,4347900935,,,,,,,-111.9219839,33.4075771,,,
,422,4084510569,traffic_signals,,signal,,,,-111.9226118,33.4075789,,,
,423,4347900929,,,,,,,-111.9247739,33.4075717,,,
,424,4347900913,,,,,,,-111.9214184,33.4074444,,,
,425,4347900907,,,,,,,-111.9138803,33.407441,,,
,426,4347900931,,,,,,,-111.9209418,33.4075741,,,
,427,4347900938,,,,,,,-111.9232831,33.4075793,,,
,428,4347900934,,,,,,,-111.9189369,33.4075769,,,
,429,4347900936,,,,,,,-111.9195304,33.4075772,,,
,430,4347900937,,,,,,,-111.9204775,33.4075777,,,
,431,4347900908,,,,,,,-111.9161352,33.4074426,,,
,432,4347900906,,,,,,,-111.9119245,33.4074381,,,
,433,4084510567,traffic_signals,,signal,,,,-111.909105,33.4075706,,,
,434,4347900922,,,,,,,-111.9270016,33.4075087,,,
,435,,,,,,,,-111.9088,33.4075691,,,boundary node created by osm2gmns
,436,4084510563,traffic_signals,,signal,,,,-111.9176965,33.4075762,,,
,437,4347900941,,,,,,,-111.9091088,33.4085182,,,
,438,4347900939,,,,,,,-111.9091078,33.4082217,,,
,439,,,,,,,,-111.9091132,33.4071,,,boundary node created by osm2gmns
,440,4347900944,,,,,,,-111.9262984,33.4131293,,,
,441,5668170566,,,,,,,-111.9262731,33.4079581,,,
,442,,,,,,,,-111.9262827,33.4071,,,boundary node created by osm2gmns
,443,7241586275,traffic_signals,,signal,,,,-111.926283,33.4101537,,,
,444,2262988976,,,,,,,-111.9209436,33.4075259,,,
,445,3756594468,traffic_signals,,signal,,,,-111.9136482,33.414836,,,
,446,5201685468,,,,,,,-111.9289364,33.4215873,,,
,447,8447095274,,,,,,,-111.9333809,33.417357,,,
,448,4716137945,crossing,,,,,,-111.93269,33.4173629,,,
,449,4716137951,,,,,,,-111.9301745,33.4173982,,,
,450,4347900940,,,,,,,-111.9262744,33.4083544,,,
,451,5668170582,,,,,,,-111.9262777,33.4093601,,,
,452,4716134185,traffic_signals,,signal,,,,-111.9291473,33.4148012,,,
,453,9658479446,,,,,,,-111.9397728,33.408303,,,
,454,41657047,,,,,,,-111.9132493,33.407514,,,
,455,41883121,,,,,,,-111.9236981,33.4075215,,,
,456,3523602070,,,,,,,-111.9091782,33.4211714,,,
,457,330686496,,,,,,,-111.9124745,33.4147475,,,
,458,9658248643,,,,,,,-111.9271067,33.414689,,,
,459,330689965,,,,,,,-111.9203868,33.4148865,,,
,460,2916726375,traffic_signals,,signal,,,,-111.938145,33.4219872,,,
